episode,reward,length,agent_lives,opponent_lives,outcome
191,-3.0,3000,2,5,draw
192,0.0,3000,5,5,draw
193,-3.0,3000,2,5,draw
194,-1.0,3000,4,5,draw
195,-2.0,3000,3,5,draw
196,-1.0,3000,4,5,draw
197,-1.0,3000,4,5,draw
198,-2.0,3000,3,5,draw
199,-1.0,3000,4,5,draw
200,-1.0,3000,4,5,draw


metric,value
n,200
wins,0
losses,0
draws,200
win_rate,0.0
loss_rate,0.0
draw_rate,100.0
avg_reward,-0.98
std_reward,1.1487384384619503
median_reward,-1.0
min_reward,-4.0
max_reward,2.0
avg_scored,0.335
avg_conceded,1.315
score_margin,-0.98
avg_length,3000.0
std_length,0.0
min_length,3000
max_length,3000
shutouts,0
shutout_rate,0.0
avg_opp_lives,4.665
