matchup,episode,score
A_vs_B,78,1
A_vs_B,79,0
A_vs_B,80,-1
A_vs_B,81,0
A_vs_B,82,0
A_vs_B,83,-2
A_vs_B,84,-1
A_vs_B,85,-1
A_vs_B,86,0
A_vs_B,87,0
A_vs_B,88,2
A_vs_B,89,-1
A_vs_B,90,0
A_vs_B,91,3
A_vs_B,92,1
A_vs_B,93,0
A_vs_B,94,1
A_vs_B,95,0
A_vs_B,96,1
A_vs_B,97,0
A_vs_B,98,1
A_vs_B,99,0
A_vs_B,100,0
A_vs_B,101,-2
A_vs_B,102,0
A_vs_B,103,0
A_vs_B,104,-1
A_vs_B,105,0
A_vs_B,106,0
A_vs_B,107,0
A_vs_B,108,1
A_vs_B,109,1
A_vs_B,110,0
A_vs_B,111,0
A_vs_B,112,0
A_vs_B,113,1
A_vs_B,114,1
A_vs_B,115,3
A_vs_B,116,0
A_vs_B,117,2
A_vs_B,118,0
A_vs_B,119,-3
A_vs_B,120,0
A_vs_B,121,-1
A_vs_B,122,2
A_vs_B,123,0
A_vs_B,124,1
A_vs_B,125,0
A_vs_B,126,-2
A_vs_B,127,0
A_vs_B,128,0
A_vs_B,129,0
A_vs_B,130,1
A_vs_B,131,-1
A_vs_B,132,2
A_vs_B,133,-2
A_vs_B,134,0
A_vs_B,135,0
A_vs_B,136,0
A_vs_B,137,0
A_vs_B,138,0
A_vs_B,139,-2
A_vs_B,140,0
A_vs_B,141,-1
A_vs_B,142,-1
A_vs_B,143,2
A_vs_B,144,0
A_vs_B,145,0
A_vs_B,146,0
A_vs_B,147,0
A_vs_B,148,1
A_vs_B,149,0
A_vs_B,150,2
A_vs_B,151,-1
A_vs_B,152,1
A_vs_B,153,0
A_vs_B,154,-1
A_vs_B,155,1
A_vs_B,156,1
A_vs_B,157,-1
A_vs_B,158,3
A_vs_B,159,1
A_vs_B,160,2
A_vs_B,161,-2
A_vs_B,162,0
A_vs_B,163,0
A_vs_B,164,0
A_vs_B,165,0
A_vs_B,166,1
A_vs_B,167,-1
A_vs_B,168,0
A_vs_B,169,1
A_vs_B,170,0
A_vs_B,171,0
A_vs_B,172,-2
A_vs_B,173,0
A_vs_B,174,0
A_vs_B,175,1
A_vs_B,176,0
A_vs_B,177,0
A_vs_B,178,-1
A_vs_B,179,0
A_vs_B,180,0
A_vs_B,181,2
A_vs_B,182,1
A_vs_B,183,1
A_vs_B,184,1
A_vs_B,185,-1
A_vs_B,186,0
A_vs_B,187,-1
A_vs_B,188,0
A_vs_B,189,-1
A_vs_B,190,-1
A_vs_B,191,-1
A_vs_B,192,0
A_vs_B,193,-1
A_vs_B,194,0
A_vs_B,195,0
A_vs_B,196,0
A_vs_B,197,-4
A_vs_B,198,2
A_vs_B,199,-1
A_vs_B,200,0
C_vs_A,1,-4
C_vs_A,2,-4
C_vs_A,3,1
C_vs_A,4,-3
C_vs_A,5,-2
C_vs_A,6,-2
C_vs_A,7,-4
C_vs_A,8,-3
C_vs_A,9,-1
C_vs_A,10,0
C_vs_A,11,0
C_vs_A,12,-1
C_vs_A,13,1
C_vs_A,14,-5
C_vs_A,15,-1
C_vs_A,16,-1
C_vs_A,17,-2
C_vs_A,18,1
C_vs_A,19,0
C_vs_A,20,-3
C_vs_A,21,-4
C_vs_A,22,-3
C_vs_A,23,1
C_vs_A,24,-1
C_vs_A,25,-2
C_vs_A,26,-1
C_vs_A,27,1
C_vs_A,28,-4
C_vs_A,29,0
C_vs_A,30,-1
C_vs_A,31,-3
C_vs_A,32,-3
C_vs_A,33,0
C_vs_A,34,-1
C_vs_A,35,-1
